Date,Open,High,Close,Low,Volume
2000-08-10,1345.25,1360.4,1328.0,1325.15,44327298.0
2000-08-11,1328.15,1328.15,1310.75,1306.6,36412192.0
2000-08-14,1312.25,1321.55,1317.9,1295.45,43856581.0
2000-08-16,1319.35,1354.95,1351.45,1319.35,40974798.0
2000-08-17,1351.5,1363.05,1341.4,1334.95,53407669.0
2000-08-18,1342.0,1360.65,1358.05,1339.05,48685807.0
2000-08-21,1358.75,1374.5,1370.25,1358.75,49039737.0
2000-08-22,1370.75,1394.9,1381.2,1370.75,52198971.0
2000-08-23,1381.6,1398.9,1386.05,1376.9,61613888.0
2000-08-24,1386.3,1390.45,1386.95,1374.9,44508722.0
2000-08-25,1387.35,1396.1,1381.25,1377.75,50255008.0
2000-08-28,1379.6,1383.45,1369.85,1368.25,37279363.0
2000-08-29,1368.65,1373.55,1367.7,1360.65,38510859.0
2000-08-30,1369.9,1384.85,1375.95,1369.8,43639136.0
2000-08-31,1376.5,1397.3,1394.1,1375.9,41752795.0
2000-09-04,1395.95,1433.15,1427.75,1395.95,59118945.0
2000-09-05,1428.05,1434.65,1428.25,1420.9,46660762.0
2000-09-06,1430.9,1444.45,1435.35,1421.0,55564667.0
2000-09-07,1434.7,1450.2,1439.75,1424.35,50581945.0
2000-09-08,1440.6,1453.15,1450.05,1440.6,48947780.0
2000-09-11,1449.35,1469.0,1456.35,1448.95,48899129.0
2000-09-12,1457.1,1470.55,1467.65,1447.8,44769146.0
2000-09-13,1467.65,1482.0,1456.15,1452.6,40899886.0
2000-09-14,1456.75,1466.65,1445.3,1437.85,48935189.0
2000-09-15,1443.25,1451.05,1417.2,1411.55,48417567.0
2000-09-18,1416.05,1416.05,1354.35,1352.1,44613980.0
2000-09-19,1351.8,1361.7,1317.0,1295.3,61402728.0
2000-09-20,1317.8,1351.1,1342.9,1311.1,42014443.0
2000-09-21,1341.65,1347.4,1329.85,1325.75,37264457.0
2000-09-22,1329.1,1329.1,1266.45,1261.2,53881081.0
2000-09-25,1268.4,1305.1,1292.55,1268.4,42390608.0
2000-09-26,1292.9,1298.25,1267.9,1261.0,46208596.0
2000-09-27,1267.45,1299.0,1292.55,1249.35,49801255.0
2000-09-28,1292.4,1302.75,1266.4,1260.8,60964211.0
2000-09-29,1267.3,1284.15,1271.65,1264.4,49222289.0
2000-10-03,1270.75,1288.15,1282.0,1254.35,53465691.0
2000-10-04,1281.45,1300.05,1297.8,1275.8,42233464.0
2000-10-05,1296.1,1306.45,1284.75,1282.5,46464764.0
2000-10-06,1284.35,1287.85,1285.0,1262.65,51772489.0
2000-10-09,1285.05,1286.35,1267.3,1264.2,35059618.0
2000-10-10,1268.7,1272.75,1238.95,1230.05,48897412.0
2000-10-11,1232.85,1234.1,1201.9,1193.8,50473747.0
2000-10-12,1201.3,1214.35,1206.25,1185.1,58853946.0
2000-10-13,1205.7,1205.7,1176.75,1167.5,55251611.0
2000-10-16,1177.85,1228.8,1175.45,1173.35,55531115.0
2000-10-17,1174.3,1174.3,1158.05,1140.6,60519154.0
2000-10-18,1157.05,1157.05,1136.0,1122.8,46516140.0
2000-10-19,1135.65,1171.5,1166.15,1108.2,67023099.0
2000-10-20,1166.2,1202.7,1172.0,1166.2,67674507.0
2000-10-23,1171.75,1172.15,1143.95,1141.45,48683559.0
2000-10-24,1143.0,1155.35,1152.45,1132.9,48203039.0
2000-10-25,1158.2,1190.4,1183.9,1157.25,61460048.0
2000-10-26,1182.8,1188.2,1186.3,1176.6,14447058.0
2000-10-27,1186.95,1192.9,1178.7,1171.85,42726133.0
2000-10-30,1178.75,1185.8,1167.15,1164.25,38382435.0
2000-10-31,1167.2,1175.6,1172.75,1155.15,46347670.0
2000-11-01,1178.25,1203.85,1200.8,1177.1,57074022.0
2000-11-02,1201.25,1226.35,1224.85,1199.75,67708490.0
2000-11-03,1225.0,1249.2,1242.05,1225.0,76271033.0
2000-11-06,1242.15,1261.4,1240.25,1236.65,71321989.0
2000-11-07,1239.0,1249.1,1246.75,1232.35,52944920.0
2000-11-08,1246.65,1277.25,1266.8,1246.65,75236288.0
2000-11-09,1266.75,1275.55,1269.95,1255.95,61831113.0
2000-11-10,1271.35,1271.4,1239.55,1237.5,62554227.0
2000-11-13,1239.35,1239.35,1208.05,1199.95,56910304.0
2000-11-14,1207.2,1246.9,1242.85,1207.05,71325452.0
2000-11-15,1245.0,1270.1,1247.05,1243.2,71820640.0
2000-11-16,1246.6,1254.55,1233.25,1228.6,62682250.0
2000-11-17,1232.35,1238.0,1236.0,1216.9,56343239.0
2000-11-20,1236.0,1241.75,1237.6,1231.05,53530821.0
2000-11-21,1236.95,1237.85,1235.0,1224.3,54134113.0
2000-11-22,1235.85,1247.5,1222.35,1220.05,56320308.0
2000-11-23,1221.2,1223.05,1216.0,1209.85,60184640.0
2000-11-24,1216.05,1230.0,1225.2,1216.05,69640031.0
2000-11-27,1225.4,1254.45,1252.9,1225.35,67007159.0
2000-11-28,1252.9,1275.45,1272.75,1248.9,81848549.0
2000-11-29,1272.25,1281.0,1264.75,1253.45,83440444.0
2000-11-30,1264.75,1272.1,1268.15,1258.4,75246754.0
2000-12-01,1268.1,1280.5,1276.2,1255.2,93875047.0
2000-12-04,1276.25,1290.0,1275.6,1273.65,68385969.0
2000-12-05,1275.7,1288.2,1284.65,1275.5,66897728.0
2000-12-06,1284.85,1319.85,1298.55,1284.85,82720927.0
2000-12-07,1298.9,1308.45,1302.5,1295.1,86887597.0
2000-12-08,1303.3,1317.2,1313.7,1303.3,92770801.0
